"","Country.Name","Country.Code","Year","Continent","Agricultural.land....of.land.area.","Net.ODA.received....of.GNI.","Access.to.electricity....of.population.","GDP.growth..annual...","GDP.per.capita..current.US..","Mortality.rate..under.5..per.1.000.live.births.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Income.level","Dem.Index","Battle.Deaths","Human.Rights","Hum.Dev","migration_rel"
"299","United Kingdom","GBR",1992,"Europe",74.6910263299301,NA,100,0.401082063847213,20487.1707852878,8.2,9.77999973297119,"H",10,102,0.813940294,0.801,0.00356793271432874
"300","Georgia","GEO",1992,"Asia",46.4671175708735,0.555162291108515,NA,-44.8999994565328,757.223548505358,47.1,5.40000009536743,"LM",4,823,-1.552737482,NA,-0.121443315892069
"301","Ghana","GHA",1992,"Africa",55.9022589434825,9.73761792081838,NA,3.87941907243939,409.746625373062,119.8,4.69999980926514,"L",-1,0,0.134318958,0.455,-0.00102214633353555
"302","Ghana","GHA",1992,"Africa",55.9022589434825,9.73761792081838,NA,3.87941907243939,409.746625373062,119.8,4.69999980926514,"L",-1,0,0.134318958,0.464,-0.00102214633353555
"303","Guinea","GIN",1992,"Africa",57.1992511802051,14.2281588721386,NA,3.27094730060409,489.071872011722,219.1,4.42000007629395,"L",-5,0,-0.685703032,0.276,-0.0200974145768681
"304","Guinea","GIN",1992,"Africa",57.1992511802051,14.2281588721386,NA,3.27094730060409,489.071872011722,219.1,4.42000007629395,"L",-5,0,-0.685703032,0.283,-0.0200974145768681
"305","Gambia, The","GMB",1992,"Africa",55.1383399209486,15.6456160917795,NA,3.37868879121812,695.156048082327,155.9,9.36999988555908,"L",8,0,1.034471505,0.333,0.00254994038784399
"306","Gambia, The","GMB",1992,"Africa",55.1383399209486,15.6456160917795,NA,3.37868879121812,695.156048082327,155.9,9.36999988555908,"L",8,0,1.034471505,0.342,0.00254994038784399
"307","Guinea-Bissau","GNB",1992,"Africa",51.4580369843528,50.4197466947172,NA,1.09999997118952,221.7998174637,212.4,3.04999995231628,"L",-6,2,-0.084299702,NA,-0.0294006958396629
"308","Equatorial Guinea","GNQ",1992,"Africa",11.9073083778966,41.2721047437531,NA,34.7453200290652,301.179129098883,175.2,8.38000011444092,"L",-7,0,-1.056472332,NA,0.0447205913259671
"309","Greece","GRC",1992,"Europe",71.1171450737005,NA,100,0.70000000474235,11176.4584190614,9.4,7.84000015258789,"UM",10,0,0.378257916,0.753,0.0441557175210339
"310","Greece","GRC",1992,"Europe",71.1171450737005,NA,100,0.70000000474235,11176.4584190614,9.4,7.84000015258789,"UM",10,0,0.378257916,0.764,0.0441557175210339
"311","Grenada","GRD",1992,"America",35.2941176470588,4.2418003312634,NA,-0.851148756391396,3192.10049343328,20.2,NA,"LM",NA,0,2.34226477,NA,-0.0433283589769979
"312","Guatemala","GTM",1992,"America",39.9869354236655,1.92614601471903,NA,4.83833884591817,1093.96290835701,73.2,2.71000003814697,"LM",3,304,-2.080137616,0.478,-0.0385023975658145
"313","Guatemala","GTM",1992,"America",39.9869354236655,1.92614601471903,NA,4.83833884591817,1093.96290835701,73.2,2.71000003814697,"LM",3,304,-2.080137616,0.49,-0.0385023975658145
"314","Guam","GUM",1992,"Oceania",37.037037037037,NA,99.9536743164063,NA,NA,NA,3.83999991416931,"UM",NA,0,NA,NA,0.012722032013578
"315","Guyana","GUY",1992,"America",5.53942595885192,25.6323204589555,NA,7.75788579248477,499.02770963317,56.9,11.8999996185303,"L",6,0,0.225414002,0.538,-0.0773000873628443
"316","Guyana","GUY",1992,"America",5.53942595885192,25.6323204589555,NA,7.75788579248477,499.02770963317,56.9,11.8999996185303,"L",6,0,0.225414002,0.548,-0.0773000873628443
"317","Hong Kong SAR, China","HKG",1992,"Asia",8.08080808080808,-0.0387360261620903,100,6.23490140048463,17976.4293827655,NA,1.96000003814697,"H",NA,0,NA,0.781,0.0269780191362814
"318","Hong Kong SAR, China","HKG",1992,"Asia",8.08080808080808,-0.0387360261620903,100,6.23490140048463,17976.4293827655,NA,1.96000003814697,"H",NA,0,NA,0.791,0.0269780191362814
"319","Honduras","HND",1992,"America",29.9848065063902,6.83172601817897,58.913112,6.07368787706019,942.612764992185,52.9,3.05999994277954,"L",6,0,-0.797770152,0.506,-0.0148720283685671
"320","Honduras","HND",1992,"America",29.9848065063902,6.83172601817897,58.913112,6.07368787706019,942.612764992185,52.9,3.05999994277954,"L",6,0,-0.797770152,0.513,-0.0148720283685671
"321","Croatia","HRV",1992,"Europe",42.9976748345555,NA,NA,NA,NA,11.4,10.8000001907349,"LM",-3,142,-1.561198213,0.67,-0.0313777777000746
"322","Croatia","HRV",1992,"Europe",42.9976748345555,NA,NA,NA,NA,11.4,10.8000001907349,"LM",-3,142,-1.561198213,0.664,-0.0313777777000746
"323","Haiti","HTI",1992,"America",57.1480406386067,4.47661821804633,NA,-5.30993291836856,308.371313176134,136.4,7.07000017166138,"L",-7,208,-2.079069533,0.409,-0.019127144462055
"324","Haiti","HTI",1992,"America",57.1480406386067,4.47661821804633,NA,-5.30993291836856,308.371313176134,136.4,7.07000017166138,"L",-7,208,-2.079069533,0.406,-0.019127144462055
"325","Hungary","HUN",1992,"Europe",68.2763992433515,NA,100,-3.06418034584902,3735.10582034276,15.8,9.9399995803833,"UM",10,0,1.230480069,0.704,0.00964188563188345
